client,global accuracy
client0,0.34637099504470825
client1,0.21770912408828735
client2,0.438545823097229
client3,0.2884569764137268
client4,0.3778733015060425
client5,0.23687231540679932
client6,0.33869898319244385
client7,0.2609628438949585
client8,0.29876381158828735
client9,0.394810289144516
client10,0.415458619594574
client11,0.26713982224464417
client12,0.3039414882659912
client13,0.22239308059215546
client14,0.00922441016882658
client15,0.4377424120903015
client16,0.41015228629112244
client17,0.08392105996608734
client18,0.34065014123916626
client19,0.35125380754470825
client20,0.3334580361843109
client21,0.40461844205856323
client22,0.385181188583374
client23,0.2958628535270691
client24,0.3881920278072357
client25,0.3676377236843109
client26,0.28591811656951904
client27,0.2592214345932007
client28,0.4286644458770752
client29,0.3557378947734833
client30,0.2878752052783966
client31,0.4273643493652344
client32,0.4139813780784607
client33,0.3431098461151123
client34,0.2830290198326111
client35,0.2331085503101349
client36,0.337868869304657
client37,0.30158764123916626
client38,0.3589931130409241
client39,0.4172365665435791
client40,0.3206142783164978
client41,0.14689697325229645
client42,0.28501081466674805
client43,0.25846654176712036
client44,0.3586309850215912
client45,0.26136356592178345
client46,0.29282134771347046
client47,0.21045267581939697
client48,0.4334067702293396
client49,0.31608372926712036
client50,0.3702458143234253
client51,0.4691893458366394
client52,0.2654874920845032
client53,0.38630616664886475
client54,0.1943695843219757
client55,0.30169349908828735
client56,0.389927476644516
client57,0.3506433367729187
client58,0.39629143476486206
client59,0.32343414425849915
client60,0.09325133264064789
client61,0.31569090485572815
client62,0.4407552182674408
client63,0.406925767660141
client64,0.4453125
client65,0.35385796427726746
client66,0.3568994700908661
client67,0.36524924635887146
client68,0.34858235716819763
client69,0.32408320903778076
client70,0.24176502227783203
client71,0.32683974504470825
client72,0.389488160610199
client73,0.006764698773622513
client74,0.3370080888271332
client75,0.31030744314193726
client76,0.28082555532455444
client77,0.272508442401886
client78,0.27660366892814636
client79,0.18239852786064148
client80,0.14933788776397705
client81,0.2754826545715332
client82,0.2723659873008728
client83,0.16561788320541382
client84,0.23453032970428467
client85,0.3001875877380371
client86,0.27208298444747925
client87,0.16435043513774872
client88,0.3041650950908661
client89,0.24010279774665833
client90,0.2463282346725464
client91,0.19137458503246307
client92,0.2895859181880951
client93,0.26531827449798584
client94,0.2064949870109558
client95,0.288503497838974
client96,0.25214311480522156
client97,0.0978531464934349
client98,0.1506340354681015
client99,0.2500148415565491
