client,accuracy
client0,0.3804790675640106
client1,0.3515358865261078
client2,0.3773033916950226
client3,0.3415652811527252
client4,0.32569995522499084
client5,0.29124680161476135
client6,0.41024869680404663
client7,0.4034459888935089
client8,0.3709263801574707
client9,0.23065781593322754
client10,0.3998541533946991
client11,0.3514283001422882
client12,0.26672711968421936
client13,0.2999633252620697
client14,0.30424708127975464
client15,0.3705040216445923
client16,0.28502556681632996
client17,0.3081738352775574
client18,0.33625903725624084
client19,0.24741120636463165
client20,0.3191821277141571
client21,0.3537302315235138
client22,0.28424856066703796
client23,0.34732145071029663
client24,0.3764249384403229
client25,0.3262513279914856
client26,0.42728444933891296
client27,0.30789169669151306
client28,0.3671281039714813
client29,0.3483618497848511
client30,0.33706754446029663
client31,0.25754833221435547
client32,0.2666100263595581
client33,0.23903903365135193
client34,0.34760764241218567
client35,0.33898261189460754
client36,0.25792956352233887
client37,0.3399391770362854
client38,0.3445577621459961
client39,0.21603932976722717
client40,0.2633309066295624
client41,0.3394496440887451
client42,0.2626767158508301
client43,0.3053361773490906
client44,0.3536325991153717
client45,0.21462763845920563
client46,0.30789777636528015
client47,0.33098161220550537
client48,0.3900456130504608
client49,0.37547773122787476
client50,0.29355761408805847
client51,0.37520352005958557
client52,0.28990256786346436
client53,0.24573704600334167
client54,0.23558872938156128
client55,0.2886497378349304
client56,0.32029953598976135
client57,0.40204811096191406
client58,0.41348323225975037
client59,0.186838299036026
client60,0.30980202555656433
client61,0.2605636417865753
client62,0.3533707559108734
client63,0.40629321336746216
client64,0.34651440382003784
client65,0.27054333686828613
client66,0.23351000249385834
client67,0.24122218787670135
client68,0.28959518671035767
client69,0.35254141688346863
client70,0.2702450752258301
client71,0.3444521725177765
client72,0.2704174220561981
client73,0.33516567945480347
client74,0.28252413868904114
client75,0.29720398783683777
client76,0.3113507032394409
client77,0.28382590413093567
client78,0.32791227102279663
client79,0.4214828908443451
client80,0.3052784502506256
client81,0.2848127484321594
client82,0.3532770872116089
client83,0.2989320456981659
client84,0.2701511085033417
client85,0.3717135488986969
client86,0.27052581310272217
client87,0.3246968686580658
client88,0.3176763355731964
client89,0.3106873631477356
client90,0.27455848455429077
client91,0.274980366230011
client92,0.3984822928905487
client93,0.33144959807395935
client94,0.2680060565471649
client95,0.3997211158275604
client96,0.28582727909088135
client97,0.23762857913970947
client98,0.2914196252822876
client99,0.3601818382740021
